Agency,2017,2018,2019,2020,2021
Department of Education,23511738815,25144670132,27068674753,28070245527,29169188823
Department of Social Services,9713876536,9921321061,10203450125,10585450965,10152540744
Pension Contributions,9395061871,9631998464,9945374458,9785821650,9465235719
Miscellaneous,9274347687,9258522644,10167299934,10028568900,11545462111
Debt Service,5890695620,6700824403,6381347363,6580398740,8195198680
